city,demand,lat,lng
秋田県大仙市,82783.0,39.453276,140.47549709999998
秋田県仙北市,27523.0,39.70005570000001,140.7306706
秋田県藤里町,3359.0,40.27843060000001,140.2618084
秋田県五城目町,9463.0,39.9438973,140.1115349
秋田県大潟村,3110.0,40.018315799999996,139.96053740000002
秋田県東成瀬村,2610.0,39.1791874,140.64907649999998
山形県鶴岡市,129652.0,38.7271972,139.82674219999998
山形県寒河江市,41256.0,38.3805369,140.27635690000002
山形県長井市,27757.0,38.1074728,140.0405256
山形県尾花沢市,16953.0,38.6006855,140.405699
山形県中山町,11363.0,38.333152,140.2830195
山形県朝日町,7119.0,38.2992619,140.1458935
山形県金山町,5829.0,38.8833675,140.3393281
山形県真室川町,8137.0,38.85774790000001,140.252441
山形県戸沢村,4773.0,38.7376227,140.143702
山形県小国町,7868.0,38.061549600000006,139.7433517
山形県三川町,7728.0,38.79453270000001,139.8496063
福島県福島市,294247.0,37.76079910000001,140.4747855
福島県いわき市,350237.0,37.0505055,140.8877435
福島県喜多方市,49377.0,37.6513048,139.8746281
福島県田村市,38503.0,37.4405664,140.5764032
福島県本宮市,30924.0,37.513138700000006,140.393895
福島県川俣町,14452.0,37.6651095,140.5982404
福島県天栄村,5611.0,37.255574900000006,140.2471971
福島県只見町,4470.0,37.3489055,139.3160686
福島県西会津町,6582.0,37.58943770000001,139.64761000000001
福島県会津坂下町,16303.0,37.56150510000001,139.8217746
福島県三島町,1668.0,37.4703464,139.6441251
福島県会津美里町,20913.0,37.4598427,139.84116519999998
福島県中島村,5001.0,37.1489211,140.3502201
福島県矢祭町,5950.0,36.871375500000006,140.42477309999998
福島県石川町,15880.0,37.1570925,140.446949
福島県浅川町,6577.0,37.0810154,140.4128129
福島県小野町,10475.0,37.2869196,140.6262529
福島県新地町,8218.0,37.876060100000004,140.9195783
茨城県日立市,185054.0,36.599127300000006,140.65047119999997
茨城県石岡市,76020.0,36.1947889,140.2888599
茨城県下妻市,43293.0,36.1843331,139.9673895
茨城県高萩市,29638.0,36.7191132,140.7167862
茨城県取手市,106570.0,35.9114223,140.0503534
茨城県ひたちなか市,155689.0,36.39665060000001,140.5347934
茨城県守谷市,64753.0,35.9515333,139.975572
茨城県筑西市,104573.0,36.3052343,139.9794265
茨城県かすみがうら市,42147.0,36.0942581,140.33078469999998
茨城県行方市,34909.0,35.99062509999999,140.4889866
茨城県小美玉市,50911.0,36.239317,140.35264109999997
茨城県城里町,19800.0,36.479476399999996,140.37592800000002
茨城県美浦村,15842.0,36.0046011,140.3019858
茨城県八千代町,22021.0,36.1816174,139.8912133
茨城県利根町,16313.0,35.8577836,140.13916569999998
栃木県栃木市,159211.0,36.38237720000001,139.7341396
栃木県日光市,83386.0,36.7198987,139.6982361
栃木県大田原市,75457.0,36.871269700000006,140.0153213
栃木県さくら市,44901.0,36.6853883,139.9664416
栃木県上三川町,31046.0,36.4393763,139.9099658
栃木県市貝町,11720.0,36.5432265,140.102137
栃木県野木町,25292.0,36.2332127,139.74085219999998
栃木県那須町,24919.0,37.0197825,140.1209869
群馬県高崎市,370884.0,36.3220692,139.0033576
群馬県太田市,219807.0,36.290937299999996,139.37604319999997
群馬県渋川市,78391.0,36.489471,139.000443
群馬県安中市,58531.0,36.3262928,138.8873823
群馬県吉岡町,21080.0,36.4473994,139.0098848
群馬県下仁田町,7564.0,36.212524200000004,138.78909099999998
群馬県中之条町,16850.0,36.589991999999995,138.8409472
群馬県草津町,6518.0,36.62071810000001,138.5960945
群馬県片品村,4390.0,36.7723342,139.2253756
群馬県みなかみ町,19347.0,36.6786999,138.9990292
群馬県明和町,11044.0,36.2118745,139.5344993
群馬県邑楽町,26426.0,36.252493,139.46228080000003
埼玉県さいたま市 大宮区,113864.0,35.908649,139.6248081
埼玉県さいたま市 桜区,97910.0,35.8638181,139.60441409999999
埼玉県さいたま市 緑区,116522.0,35.88096400000001,139.6809281
埼玉県熊谷市,198742.0,36.1471963,139.3889796
埼玉県秩父市,63555.0,35.9916443,139.08558689999998
埼玉県加須市,112229.0,36.1313882,139.6017706
埼玉県春日部市,232709.0,35.9752624,139.752313
埼玉県鴻巣市,118072.0,36.06591020000001,139.52217040000002
埼玉県草加市,247034.0,35.8254078,139.805378
埼玉県戸田市,136150.0,35.8175849,139.6777785
埼玉県志木市,72676.0,35.83619500000001,139.5800582
埼玉県桶川市,73936.0,36.0057661,139.5425834
埼玉県八潮市,86717.0,35.8226792,139.8392388
埼玉県蓮田市,62380.0,35.99436760000001,139.6621755
埼玉県鶴ヶ島市,70255.0,35.93450470000001,139.3931269
埼玉県ふじみ野市,110970.0,35.8793521,139.51961709999998
埼玉県三芳町,38456.0,35.8283861,139.5264752
